Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Tunisia,TUN,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,10334,..,..,..,..,..,..,..,..,..,..,..,..,9778,11408,11481,11171,13264,12798,11629,..
Turkey,TUR,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,3052671,3288079,3527649,3790293,3953263,4112575,..,..
Turkey,TUR,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,1607388,1677936,1918483,1972662,2106351,2342898,2453664,2532622,2924281,3529334,3817086,4353542,4975690,5472521,6062886,6689185,7198987,7560371,..,..
Turkey,TUR,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,314819,355793,443252,527392,598531,583939,..,..
Turkey,TUR,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,21789,22565,23228,24891,27393,32575,33834,35070,35946,44768,43405,51959,80494,67157,78223,86094,91267,95100,..,..
Turkmenistan,TKM,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turkmenistan,TKM,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44411,..,..,..,..,65890,..
Turkmenistan,TKM,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turkmenistan,TKM,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,159,..,..,..,..,79,..
Turks and Caicos Islands,TCA,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80,..,..,..,..,..
Turks and Caicos Islands,TCA,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,..,2,..,5,..,..,..,..,286,..,..,..,..,..
Turks and Caicos Islands,TCA,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,TCA,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,TUV,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,TUV,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,TUV,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,TUV,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uganda,UGA,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uganda,UGA,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,55767,62586,79958,88330,88360,..,92605,..,107728,123887,120646,140087,124561,..,165396,..,..,..,..,..,..
Uganda,UGA,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uganda,UGA,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,1700,68,..,..,2194,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ukraine,UKR,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,1153791,1072359,947210,909176,852597,823067,800886,..
Ukraine,UKR,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,1811538,1950755,2134676,2296221,2465074,2604875,2740342,2819248,2847713,2798693,2635004,2566279,2390989,2205595,2146028,1776190,1689724,1667288,1614636,1601557,..
Ukraine,UKR,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,445122,472697,346657,322116,377572,365768,392210,..
Ukraine,UKR,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,22487,24426,25362,26454,28326,29683,31181,32666,33915,34820,35578,36825,36452,35454,33959,30031,30961,28387,27080,24751,..
United Arab Emirates,ARE,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,106968,116888,126407,128197,154229,..,..,..
